,Rating
638,BBB
639,A
640,A
641,A
642,BB
643,C
644,CCC
645,BBB
646,BBB
647,BBB
648,BBB
649,BBB
650,BBB
651,BBB
652,A
653,A
654,A
655,BBB
656,BBB
657,CCC
658,BB
659,CCC
660,BB
661,B
662,B
663,BBB
664,BBB
665,A
666,BBB
667,BBB
668,BBB
669,BBB
670,BBB
671,BBB
672,BB
673,BB
674,BB
675,BBB
676,A
677,BBB
678,BBB
679,AA
680,AA
681,AA
682,AA
683,BB
684,BB
685,BB
686,BB
687,BB
688,BB
689,BB
690,BB
691,BB
692,BB
693,BB
694,BB
695,BB
696,BB
697,BB
698,BBB
699,B
700,BB
701,BB
702,BB
703,BB
704,BB
705,B
706,BB
707,B
708,B
709,B
710,B
711,BBB
712,BB
713,BB
714,A
715,A
716,A
717,A
718,A
719,BBB
720,BBB
721,BBB
722,A
723,BB
724,BBB
725,BBB
726,BBB
727,BBB
728,BBB
729,BB
730,BB
731,BBB
732,BB
733,CCC
734,AA
735,A
736,A
737,AA
738,A
739,A
740,B
741,B
742,BBB
743,BBB
744,A
745,BBB
746,BBB
747,A
748,A
749,A
750,A
751,A
752,A
753,A
754,BBB
755,A
756,A
757,BBB
758,BBB
759,BBB
760,BBB
761,BBB
762,BBB
763,BBB
764,BBB
765,BBB
766,BBB
767,BBB
768,A
769,BBB
770,A
771,A
772,A
773,A
774,BBB
775,A
776,BBB
777,BBB
778,BBB
779,A
780,BBB
781,BB
782,BBB
783,BBB
784,BB
785,BB
786,BB
787,BB
788,BBB
789,BBB
790,BBB
791,CCC
792,CCC
793,CCC
794,BBB
795,BBB
796,BBB
797,BBB
798,BB
799,CCC
800,B
801,B
802,B
803,BBB
804,BBB
805,BBB
806,BBB
807,BBB
808,BBB
809,BBB
810,BBB
811,BBB
812,BBB
813,BBB
814,BBB
815,AA
816,BBB
817,AA
818,BBB
819,A
820,BBB
821,BBB
822,A
823,A
824,BBB
825,BBB
826,A
827,BB
828,BB
829,B
830,B
831,CC
832,B
833,B
834,B
835,B
836,B
837,B
838,B
839,B
840,A
841,BBB
842,BBB
843,A
844,BBB
845,A
846,A
847,A
848,A
849,BB
850,BB
851,BB
852,BB
853,BBB
854,A
855,A
856,BB
857,BBB
858,A
859,A
860,A
861,A
862,A
863,A
864,A
865,A
866,A
867,A
868,BBB
869,BBB
870,BBB
871,BBB
872,BBB
873,BB
874,BBB
875,BBB
876,BBB
877,BBB
878,BBB
879,BBB
880,BBB
881,BBB
882,A
883,A
884,BBB
885,BBB
886,BBB
887,A
888,A
889,A
890,A
891,B
892,CC
893,B
894,A
895,A
896,BBB
897,BBB
898,BBB
899,A
900,BBB
901,BBB
902,BB
903,BB
904,BBB
905,BB
906,BB
907,BB
908,BB
909,BB
910,BB
911,BB
912,A
913,A
914,A
915,A
916,A
917,A
918,A
919,BBB
920,BBB
921,BB
922,BB
923,BBB
924,BB
925,BBB
926,BBB
